     ,ra       ,dec       ,parallax  ,parallax_er ,pmra      ,pmdec     ,photo_g_mean_mag ,photo_bp_mean_mag ,photo_rb_mean_mag
 462 ,71.90508 ,10.23297  , 18.91665 ,   0.01942  ,81.24595  ,-8.06324  ,       13.71942  ,        15.21469  ,12.52628
 463 ,64.74203 ,16.78973  , 18.93101 ,   0.022865 ,102.9874  ,-327.9489 ,       14.05302  ,        15.42531  ,12.89357
 464 ,73.1888  ,14.62296  , 18.93633 ,   0.02445  ,199.838   ,-37.61999 ,        7.366807 ,         7.674071 , 6.883802
 465 ,65.15717 , 8.879694 , 18.95357 ,   0.06983  ,-80.96664 ,-76.80973 ,       12.61797  ,        13.19612  ,10.94603
 466 ,59.59434 ,18.15035  , 18.97949 ,   0.022001 ,47.25264  ,-505.764  ,       14.52736  ,        15.8443   ,13.39286
 467 ,68.27141 ,23.55482  , 19.00096 ,   0.172153 ,99.20006  ,-50.75846 ,       14.91631  ,        16.83854  ,13.60974
 468 ,73.4594  ,24.14104  , 19.01237 ,   0.031886 ,29.85181  ,-56.29987 ,       15.03623  ,        16.55607  ,13.83894
 469 ,68.10729 , 8.451005 , 19.01513 ,   0.251002 ,198.4132  ,-302.4666 ,       19.06703  ,        19.74818  ,18.26338
 470 ,68.17104 ,19.11333  , 19.02879 ,   0.018293 ,90.5483   ,-33.45052 ,       10.12441  ,        10.71351  , 9.398879
 471 ,61.42284 ,19.52163  , 19.05424 ,   0.023356 ,7.887654  ,-24.73567 ,       13.99063  ,        15.4463   ,12.80681
 472 ,70.51932 ,11.92042  , 19.05581 ,   0.015248 ,85.23579  ,-10.89551 ,       12.4532   ,        13.60325  ,11.3848
 473 ,72.22312 ,25.34405  , 19.06106 ,   0.042415 ,-99.27829 ,-52.49065 ,       15.60074  ,        17.40267  ,14.32889
 474 ,70.70385 ,12.20875  , 19.08664 ,   0.02022  ,82.33921  ,-227.5469 ,        7.241715 ,         7.587272 , 6.727378
 475 ,59.53387 ,12.15408  , 19.09711 ,   0.0171   ,-18.2117  ,-83.46157 ,       13.49622  ,        14.81621  ,12.36002
 476 ,77.79075 ,15.81584  , 19.11675 ,   0.39765  ,48.20112  ,-41.80594 ,       11.27357  ,        12.24499  ,10.25368
 477 ,68.10815 , 8.450576 , 19.11823 ,   0.072813 ,199.2194  ,-308.9577 ,       16.6101   ,        18.72084  ,15.26666
 478 ,64.48201 ,14.54619  , 19.12017 ,   0.027309 ,101.5284  ,-16.23277 ,       13.75053  ,        15.2556   ,12.54831
 479 ,62.65986 ,20.03959  , 19.12025 ,   0.016533 ,40.75373  ,-214.6839 ,       12.22961  ,        13.20101  ,11.24652
 480 ,73.85631 ,11.88417  , 19.1223  ,   0.136503 ,71.79843  ,-66.57418 ,       15.11991  ,        16.86827  ,13.86101
 481 ,66.99717 ,18.75895  , 19.12817 ,   0.02338  ,94.52776  ,-27.93733 ,       12.94224  ,        14.44648  ,11.74344
 482 ,70.61541 ,13.702    , 19.13106 ,   0.028353 ,152.3655  ,33.56637  ,       14.67843  ,        16.38366  ,13.42945
 483 ,58.82857 ,16.74262  , 19.13321 ,   0.281805 ,160.6517  ,19.98884  ,       18.44712  ,        20.63492  ,16.92533
 484 ,62.6591  ,20.03894  , 19.13764 ,   0.017136 ,35.11773  ,-219.1405 ,       12.30187  ,        13.28598  ,11.31135
 485 ,59.786   ,15.75578  , 19.1792  ,   0.036344 ,-3.19979  ,-244.9903 ,       14.45573  ,        16.10838  ,13.22144
 486 ,73.48351 ,22.92845  , 19.18654 ,   0.05109  ,62.99793  ,48.57412  ,       15.54037  ,        17.4996   ,14.23295
 487 ,71.33211 ,13.57422  , 19.19447 ,   0.267392 ,87.72377  ,-9.913272 ,       12.02458  ,        13.28234  ,10.8882
 488 ,68.63451 ,15.82747  , 19.19627 ,   0.024968 ,90.2794   ,-20.41793 ,        9.416291 ,         9.876807 , 8.79175
